stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto DeathRace\DeathraceV2\pp\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.02657] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02660] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02663] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.02666] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02669] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.02671] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02674] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.02677] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02680] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.02683] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02686] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.02688] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02691] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.02694] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02697] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.02699] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02703] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02705] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02708] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02711] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02713] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.02716] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02719] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.02721] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02724] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.02727] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02730] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.02732] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02735] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.02738] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02741] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.02743] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02746] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.02749] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02752] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02754] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02757] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02760] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02763] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.02773] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02776] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.02779] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02782] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.02785] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02788] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.02790] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02793] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.02796] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02799] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.02801] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02804] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.02807] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02810] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02812] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02815] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02818] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02821] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.02823] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02826] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.02829] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02832] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.02834] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02837] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.02840] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02843] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.02845] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02849] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.02852] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02855] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.02858] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02861] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02867] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02870] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02873] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02876] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02879] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02882] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02884] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02887] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02890] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02893] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02895] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02898] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02901] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02904] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02906] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02909] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02912] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02915] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02917] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02920] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02923] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02926] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02931] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02934] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02937] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02939] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02942] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02945] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02948] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02950] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02954] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02956] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02959] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02962] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02965] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02967] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02970] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02973] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02976] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02978] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02981] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02984] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02987] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02989] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02992] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02995] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
